ResponseId,I16,I16-Timing_First Click,I16-Timing_Last Click,I16-Timing_Page Submit,I16-Timing_Click Count,I8,I8-Timing_First Click,I8-Timing_Last Click,I8-Timing_Page Submit,I8-Timing_Click Count,I24,I24-Timing_First Click,I24-Timing_Last Click,I24-Timing_Page Submit,I24-Timing_Click Count,I4,I4-Timing_First Click,I4-Timing_Last Click,I4-Timing_Page Submit,I4-Timing_Click Count,I20,I20-Timing_First Click,I20-Timing_Last Click,I20-Timing_Page Submit,I20-Timing_Click Count,I28,I28-Timing_First Click,I28-Timing_Last Click,I28-Timing_Page Submit,I28-Timing_Click Count,I12,I12-Timing_First Click,I12-Timing_Last Click,I12-Timing_Page Submit,I12-Timing_Click Count,I2,I2-Timing_First Click,I2-Timing_Last Click,I2-Timing_Page Submit,I2-Timing_Click Count,I10,I10-Timing_First Click,I10-Timing_Last Click,I10-Timing_Page Submit,I10-Timing_Click Count,I22,I22-Timing_First Click,I22-Timing_Last Click,I22-Timing_Page Submit,I22-Timing_Click Count,I18,I18-Timing_First Click,I18-Timing_Last Click,I18-Timing_Page Submit,I18-Timing_Click Count,I26,I26-Timing_First Click,I26-Timing_Last Click,I26-Timing_Page Submit,I26-Timing_Click Count,I30,I30-Timing_First Click,I30-Timing_Last Click,I30-Timing_Page Submit,I30-Timing_Click Count,I14,I14-Timing_First Click,I14-Timing_Last Click,I14-Timing_Page Submit,I14-Timing_Click Count,I6,I6-Timing_First Click,I6-Timing_Last Click,I6-Timing_Page Submit,I6-Timing_Click Count,I1,I1-Timing_First Click,I1-Timing_Last Click,I1-Timing_Page Submit,I1-Timing_Click Count,I5,I5-Timing_First Click,I5-Timing_Last Click,I5-Timing_Page Submit,I5-Timing_Click Count,I9,I9-Timing_First Click,I9-Timing_Last Click,I9-Timing_Page Submit,I9-Timing_Click Count,I13,I13-Timing_First Click,I13-Timing_Last Click,I13-Timing_Page Submit,I13-Timing_Click Count,I17,I17-Timing_First Click,I17-Timing_Last Click,I17-Timing_Page Submit,I17-Timing_Click Count,I19,I19-Timing_First Click,I19-Timing_Last Click,I19-Timing_Page Submit,I19-Timing_Click Count,I21,I21-Timing_First Click,I21-Timing_Last Click,I21-Timing_Page Submit,I21-Timing_Click Count,I23,I23-Timing_First Click,I23-Timing_Last Click,I23-Timing_Page Submit,I23-Timing_Click Count,I25,I25-Timing_First Click,I25-Timing_Last Click,I25-Timing_Page Submit,I25-Timing_Click Count,I29,I29-Timing_First Click,I29-Timing_Last Click,I29-Timing_Page Submit,I29-Timing_Click Count,I31,I31-Timing_First Click,I31-Timing_Last Click,I31-Timing_Page Submit,I31-Timing_Click Count,I27,I27-Timing_First Click,I27-Timing_Last Click,I27-Timing_Page Submit,I27-Timing_Click Count,I15,I15-Timing_First Click,I15-Timing_Last Click,I15-Timing_Page Submit,I15-Timing_Click Count,I11,I11-Timing_First Click,I11-Timing_Last Click,I11-Timing_Page Submit,I11-Timing_Click Count,I7,I7-Timing_First Click,I7-Timing_Last Click,I7-Timing_Page Submit,I7-Timing_Click Count,I3,I3-Timing_First Click,I3-Timing_Last Click,I3-Timing_Page Submit,I3-Timing_Click Count,Attend-SS,Attend-SS-Timing_First Click,Attend-SS-Timing_Last Click,Attend-SS-Timing_Page Submit,Attend-SS-Timing_Click Count,Attend-LL,Attend-LL-Timing_First Click,Attend-LL-Timing_Last Click,Attend-LL-Timing_Page Submit,Attend-LL-Timing_Click Count
R_2AY9apmXhVyJWzu,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 50% chance,6.844,6.844,7.687,1,,,,,,"${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity}
for sure",1.525,1.525,2.919,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.232,1.232,2.947,1,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,0.91,0.91,3.122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,2.297,2.297,3.134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_WCh5DQai5Hd9CmJ,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,5.385,5.385,6.501,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,1.149,1.149,3.06,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,3.587,3.587,4.352,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,2.345,2.345,3.199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 90% chance,1.117,1.117,2.896,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3HSPYHltCN4E5MY,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,2.792,2.792,4.234,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,1.752,1.752,3.644,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,1.564,1.564,3.743,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,0.858,0.858,3.351,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 72% chance,3.528,3.528,4.654,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_24IANYoh21G9m0e,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 50% chance,5.568,5.568,7.062,1,,,,,,"${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity}
for sure",2.835,2.835,3.981,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 23% chance,4.641,4.641,5.945,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,2.41,2.41,3.772,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.733,1.733,3.421,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Bb8iMpDRiHrc1r,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,4.417,4.417,5.404,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,4.145,4.145,4.933,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,5.447,5.447,6.253,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.888,1.888,2.943,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,2.863,3.98,4.729,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cY10kT9vqVyFeLL,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,7.803,7.803,9.005,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,2.089,2.089,3.065,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.247,1.247,3.181,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.405,1.405,3.257,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 90% chance,3.303,3.303,4.384,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1OitBzYNo1A5VMD,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,7.868,7.868,8.58,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,1.957,1.957,3.878,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,4.804,4.804,5.483,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,3.503,3.503,4.433,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 72% chance,1.453,1.453,3.132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1C9L51VeQ8LK8kL,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 50% chance,5.57,5.57,8.472,1,,,,,,"${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity}
for sure",1.606,1.606,3.058,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,5.665,6.108,7.122,2,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.874,1.874,3.136,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,29.439,29.439,30.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2To9h9cprb5dcoW,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,4.074,4.074,7.535,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,1.895,1.895,3.081,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,1.657,1.657,3.768,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 65% chance,1.11,1.11,3.009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.796,1.796,2.861,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_AiCzQL4IsG3aPcJ,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 50% chance,4.327,4.327,5.349,1,,,,,,"${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity}
for sure",1.567,1.567,2.916,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.709,1.709,2.987,1,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,0.859,0.859,3.288,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 42% chance,1.871,1.871,3.101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_DSJnks01u91eA1P,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,8.989,8.989,9.799,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,2.131,2.131,2.918,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,2.194,2.194,2.84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.382,1.382,3.083,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,2.017,2.017,3.169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2SBSUk66OISFZQZ,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,3.649,3.649,4.52,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,1.616,1.616,3.04,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,0.891,0.891,2.987,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 65% chance,0.871,0.871,2.88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 58% chance,1.065,1.065,2.855,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_1oF7HKB3GLYMJth,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 50% chance,7.621,7.621,9.249,1,,,,,,"${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity}
for sure",7.651,7.651,9.987,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,2.331,2.331,3.935,1,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.517,1.517,4.359,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.982,1.982,3.781,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9NTUcD7lZaHwJrj,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,3.048,3.048,3.883,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,1.492,1.492,3.146,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,1.752,1.752,2.839,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.983,1.983,2.985,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 72% chance,0.931,0.931,2.834,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
